"","provincia","sexo","idade_gt7","variable","value","count","percent"
"182","SOFALA","FEMININO",0,"dif_fica_pe","ALGUMA",4,"6.2"
"183","SOFALA","FEMININO",0,"dif_fica_pe","MUITA",3,"4.6"
"184","SOFALA","FEMININO",0,"dif_fica_pe","NENHUMA",45,"69.2"
"185","SOFALA","FEMININO",0,"dif_fica_pe","PEQUENA",13,"20"
"186","SOFALA","FEMININO",0,"dif_casa","ALGUMA",5,"7.7"
"187","SOFALA","FEMININO",0,"dif_casa","MUITA",3,"4.6"
"188","SOFALA","FEMININO",0,"dif_casa","NENHUMA",46,"70.8"
"189","SOFALA","FEMININO",0,"dif_casa","PEQUENA",11,"16.9"
"190","SOFALA","FEMININO",0,"dif_tarefa_nova","ALGUMA",5,"7.7"
"191","SOFALA","FEMININO",0,"dif_tarefa_nova","MUITA",1,"1.5"
"192","SOFALA","FEMININO",0,"dif_tarefa_nova","NENHUMA",49,"75.4"
"193","SOFALA","FEMININO",0,"dif_tarefa_nova","PEQUENA",10,"15.4"
"194","SOFALA","FEMININO",0,"dif_comunidade","ALGUMA",2,"3.1"
"195","SOFALA","FEMININO",0,"dif_comunidade","MUITA",1,"1.5"
"196","SOFALA","FEMININO",0,"dif_comunidade","NENHUMA",55,"84.6"
"197","SOFALA","FEMININO",0,"dif_comunidade","PEQUENA",7,"10.8"
"198","SOFALA","FEMININO",0,"dif_concentrar","ALGUMA",9,"13.8"
"199","SOFALA","FEMININO",0,"dif_concentrar","GRAVE OU NAO PODE FAZER",1,"1.5"
"200","SOFALA","FEMININO",0,"dif_concentrar","MUITA",2,"3.1"
"201","SOFALA","FEMININO",0,"dif_concentrar","NENHUMA",44,"67.7"
"202","SOFALA","FEMININO",0,"dif_concentrar","PEQUENA",9,"13.8"
"203","SOFALA","FEMININO",0,"dif_andar","ALGUMA",4,"6.2"
"204","SOFALA","FEMININO",0,"dif_andar","MUITA",8,"12.3"
"205","SOFALA","FEMININO",0,"dif_andar","NENHUMA",39,"60"
"206","SOFALA","FEMININO",0,"dif_andar","NN",1,"1.5"
"207","SOFALA","FEMININO",0,"dif_andar","PEQUENA",13,"20"
"208","SOFALA","FEMININO",0,"dif_banho","NENHUMA",63,"96.9"
"209","SOFALA","FEMININO",0,"dif_banho","PEQUENA",2,"3.1"
"210","SOFALA","FEMININO",0,"dif_vestir","NENHUMA",62,"95.4"
"211","SOFALA","FEMININO",0,"dif_vestir","PEQUENA",3,"4.6"
"212","SOFALA","FEMININO",0,"dif_socializar","ALGUMA",1,"1.5"
"213","SOFALA","FEMININO",0,"dif_socializar","MUITA",2,"3.1"
"214","SOFALA","FEMININO",0,"dif_socializar","NENHUMA",57,"87.7"
"215","SOFALA","FEMININO",0,"dif_socializar","PEQUENA",5,"7.7"
"216","SOFALA","FEMININO",0,"dif_amizade","ALGUMA",4,"6.2"
"217","SOFALA","FEMININO",0,"dif_amizade","GRAVE OU NAO PODE FAZER",1,"1.5"
"218","SOFALA","FEMININO",0,"dif_amizade","NENHUMA",54,"83.1"
"219","SOFALA","FEMININO",0,"dif_amizade","PEQUENA",6,"9.2"
"220","SOFALA","FEMININO",0,"dif_trabalho","ALGUMA",5,"7.7"
"221","SOFALA","FEMININO",0,"dif_trabalho","NENHUMA",52,"80"
"222","SOFALA","FEMININO",0,"dif_trabalho","PEQUENA",8,"12.3"
"223","SOFALA","FEMININO",0,"dif_emocional","ALGUMA",9,"13.8"
"224","SOFALA","FEMININO",0,"dif_emocional","MUITA",6,"9.2"
"225","SOFALA","FEMININO",0,"dif_emocional","NENHUMA",25,"38.5"
"226","SOFALA","FEMININO",0,"dif_emocional","PEQUENA",25,"38.5"
"227","SOFALA","FEMININO",1,"dif_fica_pe","ALGUMA",15,"6.8"
"228","SOFALA","FEMININO",1,"dif_fica_pe","MUITA",17,"7.7"
"229","SOFALA","FEMININO",1,"dif_fica_pe","NENHUMA",159,"72.3"
"230","SOFALA","FEMININO",1,"dif_fica_pe","PEQUENA",29,"13.2"
"231","SOFALA","FEMININO",1,"dif_casa","ALGUMA",10,"4.5"
"232","SOFALA","FEMININO",1,"dif_casa","MUITA",5,"2.3"
"233","SOFALA","FEMININO",1,"dif_casa","NENHUMA",181,"82.3"
"234","SOFALA","FEMININO",1,"dif_casa","PEQUENA",24,"10.9"
"235","SOFALA","FEMININO",1,"dif_tarefa_nova","ALGUMA",12,"5.5"
"236","SOFALA","FEMININO",1,"dif_tarefa_nova","MUITA",1,"0.5"
"237","SOFALA","FEMININO",1,"dif_tarefa_nova","NENHUMA",176,"80"
"238","SOFALA","FEMININO",1,"dif_tarefa_nova","PEQUENA",31,"14.1"
"239","SOFALA","FEMININO",1,"dif_comunidade","ALGUMA",11,"5"
"240","SOFALA","FEMININO",1,"dif_comunidade","MUITA",2,"0.9"
"241","SOFALA","FEMININO",1,"dif_comunidade","NENHUMA",167,"75.9"
"242","SOFALA","FEMININO",1,"dif_comunidade","PEQUENA",40,"18.2"
"243","SOFALA","FEMININO",1,"dif_concentrar","ALGUMA",29,"13.2"
"244","SOFALA","FEMININO",1,"dif_concentrar","GRAVE OU NAO PODE FAZER",1,"0.5"
"245","SOFALA","FEMININO",1,"dif_concentrar","MUITA",6,"2.7"
"246","SOFALA","FEMININO",1,"dif_concentrar","NENHUMA",129,"58.6"
"247","SOFALA","FEMININO",1,"dif_concentrar","PEQUENA",55,"25"
"248","SOFALA","FEMININO",1,"dif_andar","ALGUMA",25,"11.4"
"249","SOFALA","FEMININO",1,"dif_andar","MUITA",17,"7.7"
"250","SOFALA","FEMININO",1,"dif_andar","NENHUMA",136,"61.8"
"251","SOFALA","FEMININO",1,"dif_andar","PEQUENA",42,"19.1"
"252","SOFALA","FEMININO",1,"dif_banho","ALGUMA",3,"1.4"
"253","SOFALA","FEMININO",1,"dif_banho","MUITA",1,"0.5"
"254","SOFALA","FEMININO",1,"dif_banho","NENHUMA",210,"95.5"
"255","SOFALA","FEMININO",1,"dif_banho","PEQUENA",6,"2.7"
"256","SOFALA","FEMININO",1,"dif_vestir","ALGUMA",1,"0.5"
"257","SOFALA","FEMININO",1,"dif_vestir","MUITA",1,"0.5"
"258","SOFALA","FEMININO",1,"dif_vestir","NENHUMA",217,"98.6"
"259","SOFALA","FEMININO",1,"dif_vestir","PEQUENA",1,"0.5"
"260","SOFALA","FEMININO",1,"dif_socializar","ALGUMA",9,"4.1"
"261","SOFALA","FEMININO",1,"dif_socializar","GRAVE OU NAO PODE FAZER",1,"0.5"
"262","SOFALA","FEMININO",1,"dif_socializar","MUITA",1,"0.5"
"263","SOFALA","FEMININO",1,"dif_socializar","NENHUMA",191,"86.8"
"264","SOFALA","FEMININO",1,"dif_socializar","PEQUENA",18,"8.2"
"265","SOFALA","FEMININO",1,"dif_amizade","ALGUMA",11,"5"
"266","SOFALA","FEMININO",1,"dif_amizade","MUITA",2,"0.9"
"267","SOFALA","FEMININO",1,"dif_amizade","NENHUMA",184,"83.6"
"268","SOFALA","FEMININO",1,"dif_amizade","PEQUENA",23,"10.5"
"269","SOFALA","FEMININO",1,"dif_trabalho","ALGUMA",10,"4.5"
"270","SOFALA","FEMININO",1,"dif_trabalho","MUITA",2,"0.9"
"271","SOFALA","FEMININO",1,"dif_trabalho","NENHUMA",174,"79.1"
"272","SOFALA","FEMININO",1,"dif_trabalho","PEQUENA",34,"15.5"
"273","SOFALA","FEMININO",1,"dif_emocional","ALGUMA",22,"10"
"274","SOFALA","FEMININO",1,"dif_emocional","MUITA",19,"8.6"
"275","SOFALA","FEMININO",1,"dif_emocional","NENHUMA",74,"33.6"
"276","SOFALA","FEMININO",1,"dif_emocional","PEQUENA",105,"47.7"
"277","SOFALA","MASCULINO",0,"dif_fica_pe","ALGUMA",3,"10.3"
"278","SOFALA","MASCULINO",0,"dif_fica_pe","GRAVE OU NAO PODE FAZER",1,"3.4"
"279","SOFALA","MASCULINO",0,"dif_fica_pe","NENHUMA",25,"86.2"
"280","SOFALA","MASCULINO",0,"dif_casa","ALGUMA",6,"20.7"
"281","SOFALA","MASCULINO",0,"dif_casa","MUITA",1,"3.4"
"282","SOFALA","MASCULINO",0,"dif_casa","NENHUMA",20,"69"
"283","SOFALA","MASCULINO",0,"dif_casa","PEQUENA",2,"6.9"
"284","SOFALA","MASCULINO",0,"dif_tarefa_nova","ALGUMA",1,"3.4"
"285","SOFALA","MASCULINO",0,"dif_tarefa_nova","NENHUMA",24,"82.8"
"286","SOFALA","MASCULINO",0,"dif_tarefa_nova","PEQUENA",4,"13.8"
"287","SOFALA","MASCULINO",0,"dif_comunidade","ALGUMA",2,"6.9"
"288","SOFALA","MASCULINO",0,"dif_comunidade","NENHUMA",22,"75.9"
"289","SOFALA","MASCULINO",0,"dif_comunidade","PEQUENA",5,"17.2"
"290","SOFALA","MASCULINO",0,"dif_concentrar","ALGUMA",1,"3.4"
"291","SOFALA","MASCULINO",0,"dif_concentrar","MUITA",1,"3.4"
"292","SOFALA","MASCULINO",0,"dif_concentrar","NENHUMA",25,"86.2"
"293","SOFALA","MASCULINO",0,"dif_concentrar","PEQUENA",2,"6.9"
"294","SOFALA","MASCULINO",0,"dif_andar","ALGUMA",3,"10.3"
"295","SOFALA","MASCULINO",0,"dif_andar","MUITA",1,"3.4"
"296","SOFALA","MASCULINO",0,"dif_andar","NENHUMA",17,"58.6"
"297","SOFALA","MASCULINO",0,"dif_andar","PEQUENA",8,"27.6"
"298","SOFALA","MASCULINO",0,"dif_banho","NENHUMA",29,"100"
"299","SOFALA","MASCULINO",0,"dif_vestir","NENHUMA",29,"100"
"300","SOFALA","MASCULINO",0,"dif_socializar","NENHUMA",27,"93.1"
"301","SOFALA","MASCULINO",0,"dif_socializar","PEQUENA",2,"6.9"
"302","SOFALA","MASCULINO",0,"dif_amizade","NENHUMA",26,"89.7"
"303","SOFALA","MASCULINO",0,"dif_amizade","PEQUENA",3,"10.3"
"304","SOFALA","MASCULINO",0,"dif_trabalho","ALGUMA",3,"10.3"
"305","SOFALA","MASCULINO",0,"dif_trabalho","NENHUMA",19,"65.5"
"306","SOFALA","MASCULINO",0,"dif_trabalho","PEQUENA",7,"24.1"
"307","SOFALA","MASCULINO",0,"dif_emocional","ALGUMA",1,"3.4"
"308","SOFALA","MASCULINO",0,"dif_emocional","MUITA",2,"6.9"
"309","SOFALA","MASCULINO",0,"dif_emocional","NENHUMA",10,"34.5"
"310","SOFALA","MASCULINO",0,"dif_emocional","PEQUENA",16,"55.2"
"311","SOFALA","MASCULINO",1,"dif_fica_pe","ALGUMA",15,"7.5"
"312","SOFALA","MASCULINO",1,"dif_fica_pe","GRAVE OU NAO PODE FAZER",2,"1"
"313","SOFALA","MASCULINO",1,"dif_fica_pe","MUITA",14,"7"
"314","SOFALA","MASCULINO",1,"dif_fica_pe","NENHUMA",139,"69.8"
"315","SOFALA","MASCULINO",1,"dif_fica_pe","PEQUENA",29,"14.6"
"316","SOFALA","MASCULINO",1,"dif_casa","ALGUMA",13,"6.5"
"317","SOFALA","MASCULINO",1,"dif_casa","GRAVE OU NAO PODE FAZER",1,"0.5"
"318","SOFALA","MASCULINO",1,"dif_casa","MUITA",6,"3"
"319","SOFALA","MASCULINO",1,"dif_casa","NENHUMA",152,"76.4"
"320","SOFALA","MASCULINO",1,"dif_casa","PEQUENA",27,"13.6"
"321","SOFALA","MASCULINO",1,"dif_tarefa_nova","ALGUMA",10,"5"
"322","SOFALA","MASCULINO",1,"dif_tarefa_nova","MUITA",7,"3.5"
"323","SOFALA","MASCULINO",1,"dif_tarefa_nova","NENHUMA",161,"80.9"
"324","SOFALA","MASCULINO",1,"dif_tarefa_nova","PEQUENA",21,"10.6"
"325","SOFALA","MASCULINO",1,"dif_comunidade","ALGUMA",7,"3.5"
"326","SOFALA","MASCULINO",1,"dif_comunidade","GRAVE OU NAO PODE FAZER",1,"0.5"
"327","SOFALA","MASCULINO",1,"dif_comunidade","MUITA",3,"1.5"
"328","SOFALA","MASCULINO",1,"dif_comunidade","NENHUMA",153,"76.9"
"329","SOFALA","MASCULINO",1,"dif_comunidade","PEQUENA",35,"17.6"
"330","SOFALA","MASCULINO",1,"dif_concentrar","ALGUMA",14,"7"
"331","SOFALA","MASCULINO",1,"dif_concentrar","GRAVE OU NAO PODE FAZER",2,"1"
"332","SOFALA","MASCULINO",1,"dif_concentrar","MUITA",1,"0.5"
"333","SOFALA","MASCULINO",1,"dif_concentrar","NENHUMA",144,"72.4"
"334","SOFALA","MASCULINO",1,"dif_concentrar","PEQUENA",38,"19.1"
"335","SOFALA","MASCULINO",1,"dif_andar","ALGUMA",17,"8.5"
"336","SOFALA","MASCULINO",1,"dif_andar","GRAVE OU NAO PODE FAZER",1,"0.5"
"337","SOFALA","MASCULINO",1,"dif_andar","MUITA",14,"7"
"338","SOFALA","MASCULINO",1,"dif_andar","NENHUMA",144,"72.4"
"339","SOFALA","MASCULINO",1,"dif_andar","PEQUENA",23,"11.6"
"340","SOFALA","MASCULINO",1,"dif_banho","MUITA",2,"1"
"341","SOFALA","MASCULINO",1,"dif_banho","NENHUMA",191,"96"
"342","SOFALA","MASCULINO",1,"dif_banho","PEQUENA",6,"3"
"343","SOFALA","MASCULINO",1,"dif_vestir","NENHUMA",191,"96"
"344","SOFALA","MASCULINO",1,"dif_vestir","PEQUENA",8,"4"
"345","SOFALA","MASCULINO",1,"dif_socializar","ALGUMA",6,"3"
"346","SOFALA","MASCULINO",1,"dif_socializar","MUITA",3,"1.5"
"347","SOFALA","MASCULINO",1,"dif_socializar","NENHUMA",177,"88.9"
"348","SOFALA","MASCULINO",1,"dif_socializar","PEQUENA",13,"6.5"
"349","SOFALA","MASCULINO",1,"dif_amizade","ALGUMA",6,"3"
"350","SOFALA","MASCULINO",1,"dif_amizade","MUITA",4,"2"
"351","SOFALA","MASCULINO",1,"dif_amizade","NENHUMA",181,"91"
"352","SOFALA","MASCULINO",1,"dif_amizade","PEQUENA",8,"4"
"353","SOFALA","MASCULINO",1,"dif_trabalho","ALGUMA",9,"4.5"
"354","SOFALA","MASCULINO",1,"dif_trabalho","GRAVE OU NAO PODE FAZER",1,"0.5"
"355","SOFALA","MASCULINO",1,"dif_trabalho","MUITA",1,"0.5"
"356","SOFALA","MASCULINO",1,"dif_trabalho","NENHUMA",154,"77.4"
"357","SOFALA","MASCULINO",1,"dif_trabalho","PEQUENA",34,"17.1"
"358","SOFALA","MASCULINO",1,"dif_emocional","ALGUMA",16,"8"
"359","SOFALA","MASCULINO",1,"dif_emocional","GRAVE",1,"0.5"
"360","SOFALA","MASCULINO",1,"dif_emocional","MUITA",28,"14.1"
"361","SOFALA","MASCULINO",1,"dif_emocional","NENHUMA",68,"34.2"
"362","SOFALA","MASCULINO",1,"dif_emocional","PEQUENA",86,"43.2"
